position=< 51781,  41361> velocity=<-5, -4>
position=< 31129, -41131> velocity=<-3,  4>
position=<-20450,  31057> velocity=< 2, -3>
position=< 31145,  10425> velocity=<-3, -1>
position=< 10497,  41360> velocity=<-1, -4>
position=< 31097, -41136> velocity=<-3,  4>
position=< 51779, -20512> velocity=<-5,  2>
position=< 20827,  20741> velocity=<-2, -2>
position=< 51745,  10431> velocity=<-5, -1>
position=< 10531,  41360> velocity=<-1, -4>
position=< 31105,  10433> velocity=<-3, -1>
position=<-51343, -41134> velocity=< 5,  4>
position=< 31124,  51676> velocity=<-3, -5>
position=< 41465, -51440> velocity=<-4,  5>
position=<-51347,  20738> velocity=< 5, -2>
position=< 20817, -10200> velocity=<-2,  1>
position=<-51367,  20742> velocity=< 5, -2>
position=<-20431, -10197> velocity=< 2,  1>
position=<-30749,  20740> velocity=< 3, -2>
position=< 31107,  10428> velocity=<-3, -1>
position=< 31153, -41128> velocity=<-3,  4>
position=< 20797,  41366> velocity=<-2, -4>
position=<-51354,  41362> velocity=< 5, -4>
position=<-20463, -51445> velocity=< 2,  5>
position=<-20415, -51439> velocity=< 2,  5>
position=< 41454, -41131> velocity=<-4,  4>
position=< 41418, -30822> velocity=<-4,  3>
position=< 51721,  10426> velocity=<-5, -1>
position=< 51722, -51439> velocity=<-5,  5>
position=< 31149, -41129> velocity=<-3,  4>
position=<-51398, -51439> velocity=< 5,  5>
position=<-41087, -41133> velocity=< 4,  4>
position=< 20793,  51680> velocity=<-2, -5>
position=< 41460,  31053> velocity=<-4, -3>
position=< 31145, -41128> velocity=<-3,  4>
position=<-51338, -30822> velocity=< 5,  3>
position=< 10501,  10424> velocity=<-1, -1>
position=<-10111, -30818> velocity=< 1,  3>
position=<-30735,  51679> velocity=< 3, -5>
position=< 41409,  41361> velocity=<-4, -4>
position=< 41442, -10196> velocity=<-4,  1>
position=<-10111, -41129> velocity=< 1,  4>
position=< 51782, -20504> velocity=<-5,  2>
position=< 10485, -41133> velocity=<-1,  4>
position=<-30726, -30818> velocity=< 3,  3>
position=< 20796,  20741> velocity=<-2, -2>
position=<-30722, -41127> velocity=< 3,  4>
position=< 10505, -30821> velocity=<-1,  3>
position=< 41465,  10431> velocity=<-4, -1>
position=< 41413, -10191> velocity=<-4,  1>
position=< 31116,  31057> velocity=<-3, -3>
position=<-51350,  10427> velocity=< 5, -1>
position=< 10521,  51673> velocity=<-1, -5>
position=< 51753, -30822> velocity=<-5,  3>
position=< 10518,  51676> velocity=<-1, -5>
position=<-20402, -20506> velocity=< 2,  2>
position=<-51346, -41127> velocity=< 5,  4>
position=<-10131, -10200> velocity=< 1,  1>
position=<-41063, -20506> velocity=< 4,  2>
position=<-20421, -51448> velocity=< 2,  5>
position=<-10108,  51677> velocity=< 1, -5>
position=< 31148,  51676> velocity=<-3, -5>
position=< 20825,  20741> velocity=<-2, -2>
position=< 10475,  31057> velocity=<-1, -3>
position=<-30775,  10429> velocity=< 3, -1>
position=<-30742,  31053> velocity=< 3, -3>
position=< 20830, -10195> velocity=<-2,  1>
position=< 41420, -41132> velocity=<-4,  4>
position=< 20817,  41368> velocity=<-2, -4>
position=<-51357,  10424> velocity=< 5, -1>
position=<-30767,  31056> velocity=< 3, -3>
position=<-10118, -20507> velocity=< 1,  2>
position=< 51782, -20503> velocity=<-5,  2>
position=< 51726,  41369> velocity=<-5, -4>
position=<-41078, -51446> velocity=< 4,  5>
position=<-20454,  31051> velocity=< 2, -3>
position=<-30735,  31052> velocity=< 3, -3>
position=<-41078,  10430> velocity=< 4, -1>
position=<-30735, -10197> velocity=< 3,  1>
position=< 41444,  20738> velocity=<-4, -2>
position=<-41087,  20742> velocity=< 4, -2>
position=<-30739, -10192> velocity=< 3,  1>
position=< 41413, -30815> velocity=<-4,  3>
position=< 31147,  10428> velocity=<-3, -1>
position=<-30743, -51445> velocity=< 3,  5>
position=<-20463, -41133> velocity=< 2,  4>
position=< 41434,  41364> velocity=<-4, -4>
position=< 51741,  10427> velocity=<-5, -1>
position=<-10140,  41365> velocity=< 1, -4>
position=< 10526, -51440> velocity=<-1,  5>
position=< 51766,  20745> velocity=<-5, -2>
position=<-41069,  31057> velocity=< 4, -3>
position=< 51774,  51672> velocity=<-5, -5>
position=< 20788,  31057> velocity=<-2, -3>
position=< 31117, -10197> velocity=<-3,  1>
position=<-30755, -41128> velocity=< 3,  4>
position=<-10099, -30817> velocity=< 1,  3>
position=<-20443,  41367> velocity=< 2, -4>
position=<-41052,  20743> velocity=< 4, -2>
position=<-41031,  41369> velocity=< 4, -4>
position=< 51782,  41364> velocity=<-5, -4>
position=< 51780, -30824> velocity=<-5,  3>
position=< 41411, -51439> velocity=<-4,  5>
position=< 51747,  51672> velocity=<-5, -5>
position=<-51390,  51679> velocity=< 5, -5>
position=< 10534, -10191> velocity=<-1,  1>
position=<-51338, -41128> velocity=< 5,  4>
position=< 10529,  51678> velocity=<-1, -5>
position=< 31121, -41136> velocity=<-3,  4>
position=< 51777,  20740> velocity=<-5, -2>
position=<-10098, -20511> velocity=< 1,  2>
position=< 51721,  31057> velocity=<-5, -3>
position=< 51733,  51678> velocity=<-5, -5>
position=<-10091, -20507> velocity=< 1,  2>
position=< 41433, -20506> velocity=<-4,  2>
position=< 41457, -30816> velocity=<-4,  3>
position=< 10498,  51672> velocity=<-1, -5>
position=<-30717, -41131> velocity=< 3,  4>
position=<-20402, -41128> velocity=< 2,  4>
position=< 31137, -20504> velocity=<-3,  2>
position=< 41467,  41365> velocity=<-4, -4>
position=<-20418,  51674> velocity=< 2, -5>
position=< 10534, -10191> velocity=<-1,  1>
position=< 31149, -20506> velocity=<-3,  2>
position=<-41031, -41134> velocity=< 4,  4>
position=< 20821,  51673> velocity=<-2, -5>
position=< 10481, -51448> velocity=<-1,  5>
position=< 31147,  31052> velocity=<-3, -3>
position=< 31134, -10191> velocity=<-3,  1>
position=<-20426,  20745> velocity=< 2, -2>
position=< 10515,  20741> velocity=<-1, -2>
position=< 10501, -30824> velocity=<-1,  3>
position=<-20410,  31049> velocity=< 2, -3>
position=<-51347, -10197> velocity=< 5,  1>
position=<-41043,  20737> velocity=< 4, -2>
position=<-20403, -51443> velocity=< 2,  5>
position=<-41026,  31053> velocity=< 4, -3>
position=< 10518,  10433> velocity=<-1, -1>
position=< 41434, -41132> velocity=<-4,  4>
position=< 20812, -30824> velocity=<-2,  3>
position=< 51756, -10198> velocity=<-5,  1>
position=< 51721,  20737> velocity=<-5, -2>
position=< 10507,  41366> velocity=<-1, -4>
position=< 51755, -20506> velocity=<-5,  2>
position=< 51777,  41363> velocity=<-5, -4>
position=< 51741,  41363> velocity=<-5, -4>
position=<-10127,  31057> velocity=< 1, -3>
