on x=-8..38,y=-15..37,z=-49..5
on x=-35..13,y=-26..26,z=-47..-2
on x=-44..9,y=-47..7,z=-18..35
on x=-24..20,y=-46..8,z=-10..38
on x=-32..21,y=-27..18,z=-43..6
on x=-36..18,y=-7..44,z=1..45
on x=-48..2,y=-38..16,z=-45..6
on x=-47..-3,y=-8..42,z=-4..49
on x=-26..25,y=-26..19,z=-37..17
on x=-8..36,y=-48..4,z=-26..19
off x=-22..-6,y=0..11,z=4..18
on x=-5..47,y=-41..12,z=-26..27
off x=10..29,y=2..18,z=-22..-10
on x=-41..4,y=-33..17,z=-43..10
off x=23..39,y=34..43,z=0..18
on x=-22..31,y=-28..17,z=-46..-2
off x=-34..-20,y=10..27,z=-39..-24
on x=-19..34,y=-5..48,z=-36..8
off x=-22..-3,y=6..23,z=-33..-23
on x=-31..14,y=-41..6,z=-42..11
on x=15335..50364,y=23326..35316,z=55710..82802
on x=-45558..-26562,y=-2400..4809,z=63478..81702
on x=-32547..-2093,y=-80247..-60455,z=-38776..-12398
on x=3464..34355,y=-53573..-44765,z=-72270..-45885
on x=-9807..20039,y=-68478..-43761,z=-57797..-44099
on x=40079..61797,y=-61859..-31418,z=38360..45565
on x=62170..82174,y=8028..39169,z=-12590..14034
on x=-38651..-30945,y=27847..31103,z=61105..82258
on x=37522..61641,y=37254..59332,z=-25804..-10671
on x=-60797..-42266,y=-41852..-22898,z=33729..67815
on x=-16830..10919,y=-85429..-52622,z=38655..47942
on x=-79023..-63744,y=-29720..-25509,z=-13690..6232
on x=-4302..17673,y=65726..84939,z=-24802..-1510
on x=51984..58644,y=-50863..-29318,z=-62134..-38340
on x=17315..32243,y=-78736..-61172,z=-48782..-36452
on x=43538..74153,y=-64825..-48158,z=-2168..17349
on x=-88874..-56782,y=31756..39638,z=-6822..22577
on x=-32751..-16062,y=21829..33445,z=-80369..-58366
on x=-53991..-37739,y=24044..41509,z=-63198..-60191
on x=45511..57768,y=-60217..-38779,z=4772..14616
on x=582..26199,y=-84737..-68753,z=-30138..-10832
on x=-76660..-44924,y=-45685..-28606,z=-45497..-26288
on x=-16527..7531,y=71113..90437,z=-31015..963
on x=-45308..-33442,y=-55174..-46890,z=-62805..-38852
on x=-97917..-77721,y=-14020..19196,z=-9834..12916
on x=9547..37293,y=47382..79218,z=-40988..-38084
on x=11900..40311,y=-88398..-73419,z=-16149..17264
on x=-76272..-57431,y=9110..28569,z=-43875..-35650
on x=44316..75678,y=49414..51289,z=-16923..614
on x=-31873..-16382,y=-86726..-59516,z=-35550..-16645
on x=-2001..12126,y=-74226..-66970,z=27937..35348
on x=22600..38219,y=-89770..-65203,z=-2468..27615
on x=-29020..-18296,y=-40849..-28739,z=-76954..-49958
on x=-69947..-45370,y=-26764..-3205,z=-62596..-39633
on x=11106..25350,y=-10816..603,z=61373..88869
on x=-44616..-19892,y=-58959..-34216,z=58473..65795
on x=-8795..947,y=-13768..11224,z=62325..94888
on x=65157..94625,y=13584..36634,z=-19744..409
on x=8842..29765,y=-76600..-64290,z=-53640..-20221
on x=72119..80400,y=-10518..17427,z=-21981..-8210
on x=-5366..6510,y=59148..78095,z=24053..43978
on x=13458..29969,y=54416..76907,z=-41187..-26771
on x=-93261..-60882,y=-24991..-8501,z=12612..18878
on x=-65813..-47821,y=-63936..-49169,z=-19769..7195
on x=-64400..-34269,y=-35835..-33505,z=46829..66233
on x=50461..83244,y=-18960..-12216,z=-50711..-23716
on x=30337..47289,y=13642..33900,z=48160..76508
on x=-8112..10344,y=1355..15516,z=71137..84477
on x=51524..63806,y=17375..48797,z=28977..50170
on x=58448..76178,y=21032..43228,z=-27666..-23037
on x=-72668..-59446,y=31279..44252,z=25311..54211
on x=-27331..-6649,y=-75402..-45015,z=39353..52026
