LLRLRRRLLRRRLRRLRRLRLRRRLRRRLRLLRLRRLRRLRLLRRLRRRLRRLRLRLRLRRRLRRLRLLLRRLRRRLLLRLRRRLRRRLLRRLRRRLRLRRRLLLRRLLRRLRRLLLRRRLRRRLRRRLRRLLRLRLRLRRRLRLRLRRLRRLRLRRRLRRLRRRLRRRLLLRLRRLRRLRLLRRLLRRLRRLLRLRRLRRLRLRLLLRLLRRLRRLRRRLLRRLLRRRLRRLRRRLRRRLLRRRLRRRLLRRRLRLRLLRRLRLRLRRRR

CGM = (SFJ, BVH)
HRM = (PBG, QHK)
BJR = (JJM, BPB)
JTG = (RMK, GCR)
NSG = (QLT, LTH)
TJK = (TBJ, DTN)
HNX = (FCF, MCS)
MNC = (GCP, QBR)
KPH = (JDP, QMR)
SHD = (KGS, JXK)
VDM = (QLR, NVD)
VMT = (KHJ, SXN)
CLX = (XTB, GXS)
LBQ = (LFP, MVC)
XLR = (BGR, XSG)
XVK = (JLG, QGJ)
DGC = (QDM, PLL)
NLS = (DFL, RMX)
NQP = (FNM, JBQ)
JHV = (BRX, LCB)
QDK = (RHC, TDX)
TFC = (HXH, HXH)
PPH = (XKS, JLP)
SFD = (BCN, PDX)
VTN = (PMB, RFZ)
XTN = (JXL, VDM)
GJL = (PFP, KQH)
RDL = (NFR, VMT)
RKN = (NSD, TQV)
SXQ = (RPP, JTX)
KBM = (XLR, FFM)
KBP = (QHL, RTR)
BSJ = (JGX, GGG)
PSD = (GHB, NLC)
SJH = (VNL, GCN)
FNC = (PRP, JQL)
TVQ = (RGT, CFH)
JXT = (SVV, VQK)
RXL = (TTK, BDP)
KHD = (JTG, QLQ)
MKX = (SVV, VQK)
KQH = (CTC, XXX)
NLR = (CJK, HDF)
MKJ = (VJC, VGR)
RFC = (NLC, GHB)
FCJ = (FCD, JFC)
KNP = (KVK, QKB)
HFV = (BSM, HMV)
NSJ = (BBT, NQD)
HCR = (CVT, TXN)
FCG = (DKK, QXJ)
KTB = (HRR, VDV)
LMH = (LMM, LMM)
SVL = (LJG, DVG)
VHG = (LMT, SHD)
NXL = (FDK, VBR)
HVJ = (FTH, GDD)
QDX = (MXS, RMJ)
KTV = (MTG, RMV)
SCJ = (RFC, PSD)
XPG = (FLL, FPG)
BRX = (SHN, DDN)
TDN = (QHP, HTL)
PHL = (XPD, PCF)
QDM = (MBM, CVP)
MFF = (HDR, HHR)
CPV = (FQP, JBL)
VSN = (VXL, NLS)
JVG = (LFP, MVC)
DFL = (CJT, HSK)
QQJ = (SCJ, BGM)
HKP = (QFQ, QDS)
JFN = (FML, KKR)
CTL = (VXC, PNT)
GSC = (MNC, QMK)
FGS = (SHK, SHK)
FDQ = (LMQ, DJK)
LLQ = (TXH, RLG)
MGG = (QKQ, XCQ)
BPP = (LNV, FKM)
KLQ = (TDD, QCC)
MXS = (DMQ, XVK)
BFH = (SHS, TPX)
QMQ = (SLB, PPG)
BBT = (HRP, JDR)
GBR = (CLS, KMG)
MKG = (MNV, XFQ)
VRT = (QJQ, STK)
DHV = (FPC, JCM)
VBR = (CLV, XDN)
FPV = (JBG, CPG)
FDX = (MQF, FSL)
JBG = (HQS, TRD)
KJK = (DKK, QXJ)
MMB = (DMH, VDC)
BVK = (JGC, HXT)
PPC = (STP, MRF)
LMT = (JXK, KGS)
PTF = (XPG, HCH)
CQC = (SCM, NNR)
BHH = (HMN, KSS)
SHN = (CHN, MMR)
LNV = (NTN, TJK)
TJF = (HHJ, NNC)
FSK = (JNQ, XGH)
JKD = (PBG, QHK)
NPS = (CPG, JBG)
BKG = (GSC, SLT)
CNS = (VRK, XLJ)
RGM = (PRL, QFX)
QJH = (QJQ, STK)
PMB = (RRG, SCV)
QJM = (TQV, NSD)
